Date.Time,Year,Month,Day,Max.Temp,Min.Temp,Mean.Temp,Heat.Deg.Days,Cool.Deg.Days,Total.Rain,Total.Snow,Total.Precip,Snow.on.Grnd,Dir.of.Max.Gust,Spd.of.Max.Gust
2017-01-01,2017,1,1,-7.8,-17.4,-12.6,30.6,0,0,3.6,2,12,1,46
2017-01-02,2017,1,2,-16.1,-26.1,-21.1,39.1,0,0,0,0,14,,30
2017-01-03,2017,1,3,-15.5,-22.4,-19,37,0,0.1,0.4,0.3,14,,30
2017-01-04,2017,1,4,-7.2,-17.2,-12.2,30.2,0,0,0,0,13,35,43
2017-01-05,2017,1,5,-3.5,-15.8,-9.7,27.7,0,0,2.2,1.2,13,,30
2017-01-06,2017,1,6,-9.9,-17,-13.5,31.5,0,,3,1.6,15,,30
2017-01-07,2017,1,7,-14.9,-19.2,-17.1,35.1,0,0,0.4,0.4,16,36,43
2017-01-08,2017,1,8,-17.4,-19.8,-18.6,36.6,0,0,0,0,16,19,37
2017-01-09,2017,1,9,-19.5,-23.1,-21.3,39.3,0,,4.3,4.2,20,35,37
2017-01-10,2017,1,10,-16.2,-22.1,-19.2,37.2,0,0,0.4,0.4,20,35,44
2017-01-11,2017,1,11,-6,-23.1,-14.6,32.6,0,0,0,0,20,34,41
2017-01-12,2017,1,12,-2.9,-20.1,-11.5,29.5,0,0,0,0,19,28,50
2017-01-13,2017,1,13,-2.6,-13.4,-8,26,0,0,0,0,19,28,48
2017-01-14,2017,1,14,6.2,-14.1,-4,22,0,0,0,0,16,28,52
2017-01-15,2017,1,15,7,-1.3,2.9,15.1,0,0,0,0,10,29,52
2017-01-16,2017,1,16,9.6,-6.3,1.7,16.3,0,0,0,0,8,28,35
2017-01-17,2017,1,17,10.2,0.7,5.5,12.5,0,0,0,0,7,22,37
2017-01-18,2017,1,18,7.7,,,,,0,0,0,5,,30
2017-01-19,2017,1,19,9.9,-0.8,4.6,13.4,0,0,0,0,5,27,39
2017-01-20,2017,1,20,5.7,-7.8,-1.1,19.1,0,0,0,0,5,28,30
2017-01-21,2017,1,21,2.1,-10.3,-4.1,22.1,0,0,0,0,3,,30
2017-01-22,2017,1,22,-3.1,-6.3,-4.7,22.7,0,0,0.2,0.2,3,,30
2017-01-23,2017,1,23,-3.2,-7.5,-5.4,23.4,0,0,0,0,2,,30
2017-01-24,2017,1,24,0.5,-11.1,-5.3,23.3,0,0,0,0,2,,30
2017-01-25,2017,1,25,1.6,-7.2,-2.8,20.8,0,0,0,0,1,,30
2017-01-26,2017,1,26,4.8,-6.9,-1.1,19.1,0,0,0,0,2,,30
2017-01-27,2017,1,27,7.4,-7.4,0,18,0,0,0,0,2,29,65
2017-01-28,2017,1,28,10.8,5.8,8.3,9.7,0,0,0,0,2,28,69
2017-01-29,2017,1,29,13,4.8,8.9,9.1,0,0,0,0,0,27,74
2017-01-30,2017,1,30,5.3,-4.7,0.3,17.7,0,0,0,0,0,26,63
2017-01-31,2017,1,31,-4.6,-12.1,-8.4,26.4,0,0.2,0,0.2,0,34,50
2017-02-01,2017,2,1,-7.1,-11.8,-9.5,27.5,0,0.2,0,0.2,0,34,41
2017-02-02,2017,2,2,-6.2,-14.7,-10.5,28.5,0,0,0,0,0,,30
